"type","horse","CO2"
"Car",183,176.48
"Car",183,176.48
"Car",183,166.81
"Car",183,166.81
"Car",183,166.81
"Car",183,166.81
"Car",183,248.85
"Car",183,248.85
"Car",183,248.85
"Car",183,248.85
"Car",183,165.87
"Car",183,165.87
"Car",183,165.87
"Car",183,165.87
"Car",183,249.22
"Car",183,249.22
"Car",183,249.22
"Car",183,249.22
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,259.42
"Car",183,259.42
"Car",183,259.42
"Car",183,259.42
"Car",183,169.94
"Car",183,169.94
"Car",183,169.94
"Car",183,169.94
"Car",240,175.1535785
"Car",240,303.5073054
"Car",240,177.07
"Car",240,296.85
"Car",240,304.09
"Car",240,172.29
"Car",240,306.77
"Car",240,173.05
"Car",241,291.7086768
"Car",241,177.2019934
"Car",241,297.9622857
"Car",241,176.5914764
"Car",241,280.54
"Car",241,183.55
"Car",241,309.77
"Car",241,176.22
"Car",241,318.7
"Car",241,188.05
"Car",241,301.14
"Car",241,177.86
"Car",241,307.51
"Car",241,182.22
"Car",240,306.26
"Car",240,179.75
"Car",240,311.44
"Car",240,178.98
"Car",240,311.84
"Car",240,188.36
"Car",240,188.64
"Car",240,313.4
"Car",241,296.84
"Car",241,185.46
"Car",241,187.14
"Car",241,298.83
"Car",241,308.56
"Car",241,182.42
"Car",241,313.29
"Car",241,184.71
"Car",240,314.06
"Car",240,187.17
"Car",240,319.25
"Car",240,191.28
"Car",240,317.31
"Car",240,192.3
"Car",240,328.68
"Car",240,194.53
"SUV",241,312.82
"SUV",241,192.89
"SUV",241,313.34
"SUV",241,193.01
"SUV",181,330.03
"SUV",181,194.06
"SUV",181,329.87
"SUV",181,193.97
"SUV",181,329.73
"SUV",181,195.29
"SUV",181,310.12
"SUV",181,197.57
"SUV",181,308.27
"SUV",181,193.74
"SUV",181,322.1380716
"SUV",181,197.1832922
"SUV",300,338.72
"SUV",300,206.08
"SUV",300,338.69
"SUV",300,209.65
"SUV",300,307.75
"SUV",300,190.88
"SUV",300,309.43
"SUV",300,189.68
"SUV",300,310.05
"SUV",300,194.75
"SUV",300,305.98
"SUV",300,335.85
"SUV",300,193.83
"SUV",300,332.07
"SUV",300,193.91
"SUV",300,352.79
"SUV",300,224.21
"SUV",300,353.7
"SUV",300,222.32
"SUV",300,213.1906215
"SUV",300,208.3904609
"SUV",300,339.265242
"SUV",300,338.8763017
"SUV",300,351.6197516
"SUV",300,211.6153969
"SUV",300,341.5732327
"SUV",300,356.0090979
"SUV",300,211.6183135
"SUV",300,355.03
"SUV",300,205.69
"SUV",300,350.09
"SUV",300,207
"SUV",300,369.66
"SUV",300,206.83
"Car",240,309.37
"Car",240,178.19
"Car",240,180.4173559
"Car",240,334.1311732
"Car",240,312.82
"Car",240,184.55
"Car",240,328.05
"Car",240,186.85
"Car",240,323.42
"Car",240,191.71
"Car",240,337.68
"Car",240,189.66
"Car",240,333.22
"Car",240,192.29
"Car",240,342.98
"Car",240,197.98
"SUV",181,318.73
"SUV",181,180.4
"SUV",181,322.16
"SUV",181,186.87
"SUV",241,173.9148006
"SUV",241,281.1368699
"SUV",241,302.62
"SUV",241,175.11
"SUV",241,284.1055776
"SUV",241,176.9809913
"SUV",241,311.03
"SUV",241,179.72
"Car",240,300.53
"Car",240,172.38
"Car",240,173.18
"Car",240,312.41
"Car",240,173.08
"Car",240,309.7
"Car",240,182.58
"Car",240,321.47
"Car",240,183.93
"SUV",241,302.74
"SUV",241,187.57
"SUV",241,319.55
"SUV",241,183.78
"SUV",241,307.18
"SUV",241,191.73
"SUV",241,321.4
"SUV",241,190.18
"Car",240,308.63
"Car",240,308.63
"Car",240,184.45
"Car",240,184.45
"Car",240,321.19
"Car",240,321.19
"Car",240,184.37
"Car",240,184.37
"Car",240,314.87
"Car",240,314.87
"Car",240,188.54
"Car",240,188.54
"Car",240,327.04
"Car",240,327.04
"Car",240,189.11
"Car",240,189.11
"SUV",300,342.41
"SUV",300,199.79
"SUV",300,342.26
"SUV",300,198.94
"SUV",300,350.84
"SUV",300,206.78
"SUV",300,356.62
"SUV",300,199.4
"SUV",300,357.41
"SUV",300,212.97
"SUV",300,332.2
"SUV",300,196.09
"SUV",300,357.8711569
"SUV",300,201.1570794
"SUV",300,328.13
"SUV",300,194.16
"SUV",300,347.07
"SUV",300,196.74
"SUV",300,200.1706269
"SUV",300,339.6815633
"SUV",300,350.01
"SUV",300,200.74
"SUV",300,368.85
"SUV",300,225.38
"SUV",300,342.28
"SUV",300,205.38
"SUV",300,365.01
"SUV",300,204.62
"Car",241,291.97
"Car",241,180.38
"Car",241,286.33
"Car",241,193.02
"Car",241,190.45
"Car",241,317.47
"Car",241,189.44
"Car",241,320.72
"Car",241,195.83
"Car",241,302.1
"Car",241,190.65
"Car",241,325.44
"Car",241,191.38
"Car",255,304.08
"Car",255,304.08
"Car",255,304.08
"Car",255,304.08
"Car",255,191.29
"Car",255,191.29
"Car",255,191.29
"Car",255,191.29
"Car",255,314.48
"Car",255,314.48
"Car",255,314.48
"Car",255,314.48
"Car",255,189.47
"Car",255,189.47
"Car",255,189.47
"Car",255,189.47
"Car",255,303.01
"Car",255,303.01
"Car",255,303.01
"Car",255,303.01
"Car",255,185.21
"Car",255,185.21
"Car",255,185.21
"Car",255,185.21
"Car",255,300.42
"Car",255,300.42
"Car",255,300.42
"Car",255,300.42
"Car",255,179.58
"Car",255,179.58
"Car",255,179.58
"Car",255,179.58
"Car",255,307.45
"Car",255,307.45
"Car",255,307.45
"Car",255,307.45
"Car",255,195.67
"Car",255,195.67
"Car",255,195.67
"Car",255,195.67
"Car",255,302.13
"Car",255,302.13
"Car",255,302.13
"Car",255,302.13
"Car",255,322.24
"Car",255,322.24
"Car",255,322.24
"Car",255,322.24
"Car",255,194.44
"Car",255,194.44
"Car",255,194.44
"Car",255,194.44
"Car",255,303.2200016
"Car",255,303.2200016
"Car",255,303.2200016
"Car",255,303.2200016
"Car",255,185.3841327
"Car",255,185.3841327
"Car",255,185.3841327
"Car",255,185.3841327
"Car",255,307.19
"Car",255,307.19
"Car",255,307.19
"Car",255,307.19
"Car",255,196.03
"Car",255,196.03
"Car",255,196.03
"Car",255,196.03
"Car",300,336.4
"Car",300,208.04
"Car",300,337.83
"Car",300,213.33
"Car",300,362.15
"Car",300,214.91
"Car",300,383.59
"Car",300,215.01
"Car",300,329.56
"Car",300,201.25
"Car",300,216.9896051
"Car",300,382.2395438
"Car",300,380.8313023
"Car",300,222.8229476
"Car",300,350.95
"Car",300,197.76
"Car",300,363.79
"Car",300,208.51
"Car",300,236.1
"Car",300,366.3
"Car",300,377.29
"Car",300,229.05
"Car",300,380.1
"Car",300,228.87
"Car",300,366.38
"Car",300,231.72
"Car",300,353.9
"Car",300,223.61
"Car",300,355.45
"Car",300,225.89
"Car",300,381.27
"Car",300,220.42
"Car",300,375.19
"Car",300,224.14
"Car",300,333.96
"Car",300,209.35
"Car",300,329.17
"Car",300,213.95
"Car",300,326.42
"Car",300,370.99
"Car",300,216.94
"Car",300,370.96
"Car",300,215.64
"Car",300,385.56
"Car",300,248.61
"Car",300,410.22
"Car",300,252.29
"Car",300,390.88
"Car",300,240.77
"Car",300,377.1
"Car",300,240.16
"Car",443,408.39
"Car",443,247.13
"Car",443,442.7450313
"Car",443,273.0476202
"Car",443,250.1390146
"Car",443,403.64
"Car",443,248.07
"Car",443,434.73
"Car",443,248.64
"Car",448,435.73
"Car",448,271.77
"Car",448,274.29
"Car",448,462.88
"Car",448,430.37
"Car",448,270.83
"Car",448,457.98
"Car",448,275.02
"Car",443,254.21
"Car",443,417.04
"Car",443,256.38
"Car",443,446.03
"Car",443,257.61
"Car",443,422.01
"Car",443,452.05
"Car",443,260.61
"Car",448,472.5361654
"Car",448,285.0767181
"Car",448,465.337435
"Car",448,493.4245954
"Car",448,285.3426618
"Car",448,450.9
"Car",448,280.13
"Car",448,456.19
"Car",448,275.08
"Car",300,340.56
"Car",300,214.92
"Car",300,344.27
"Car",300,218.14
"Car",300,372.57
"Car",300,213.82
"Car",300,370.1
"Car",300,214.35
"Car",300,335.15
"Car",300,206.87
"Car",300,333.63
"Car",300,212.76
"Car",300,334.8
"Car",300,360.72
"Car",300,210.09
"Car",300,358.06
"Car",300,206.01
"Car",300,343.14
"Car",300,208.96
"Car",300,341.49
"Car",300,212.44
"Car",300,370.78
"Car",300,214.66
"Car",300,358.63
"Car",300,209.48
"Car",300,320.91
"Car",300,202.77
"Car",300,329.01
"Car",300,328.4
"Car",300,205.5
"Car",300,327.01
"Car",300,348.16
"Car",300,205.27
"Car",300,349.58
"Car",300,209.8
"Car",300,361.19
"Car",300,223.95
"Car",300,223.25
"Car",300,388.42
"Car",300,227.02
"Car",300,362.9
"Car",300,232.3
"Car",300,384.81
"Car",300,351.28
"Car",300,219.12
"Car",300,380.82
"Car",300,220.46
"Car",300,364.08
"Car",300,223.93
"Car",300,378.52
"Car",300,220.49
"Car",300,355
"Car",300,219.51
"Car",300,385.27
"Car",300,222.02
"Car",300,217.8994511
"Car",300,376.1786993
"Car",300,366.58
"Car",300,211.99
"Car",448,405.25
"Car",448,252.2
"Car",448,458.13
"Car",448,267.9
"Car",448,257.3810855
"Car",448,420.3248942
"Car",448,418.7225
"Car",448,256.790705
"Car",448,419.082543
"Car",448,458.96
"Car",448,263.16
"Car",448,471.97
"Car",448,263.96
"Car",448,424.2
"Car",448,268.78
"Car",448,459.27
"Car",448,263.96
"Car",255,334.88
"Car",255,334.88
"Car",255,334.88
"Car",255,334.88
"Car",255,216.13
"Car",255,216.13
"Car",255,216.13
"Car",255,216.13
"Car",255,360.95
"Car",255,360.95
"Car",255,360.95
"Car",255,360.95
"Car",255,355.56
"Car",255,355.56
"Car",255,355.56
"Car",255,355.56
"Car",255,218.81
"Car",255,218.81
"Car",255,218.81
"Car",255,218.81
"Car",300,219.65
"Car",300,377.04
"Car",300,369.8
"Car",300,226.18
"Car",300,360.85
"Car",300,220.29
"Car",300,375.93
"Car",300,219.66
"Car",300,362.85
"Car",300,228.15
"Car",300,380.32
"Car",300,227.06
"Car",448,428.57
"Car",448,258.54
"Car",448,442.6
"Car",448,259.04
"Car",448,406.45
"Car",448,251.59
"Car",448,443.74
"Car",448,256.94
"Car",448,259.7
"Car",448,440.07
"Car",448,475.09
"Car",448,274.04
"Car",448,426.99
"Car",448,255.62
"Car",448,442.67
"Car",448,254.62
"Car",448,430.34
"Car",448,264.55
"Car",448,458.5
"Car",448,267.97
"Car",448,447.75
"Car",448,263.54
"Car",448,263.54
"Car",448,451.23
"Car",535,574.75
"Car",535,316.09
"Car",300,200.3050615
"Car",300,285.3144899
"Car",300,262.63
"Car",300,184.22
"Car",300,351.06
"Car",300,391.34
"Car",300,325.08889
"Car",300,308.87385
"Car",300,211.76469
"Car",300,211.00119
"Car",300,326.8325
"Car",300,318.3974551
"Car",300,327.44
"Car",300,390.36
"Car",300,386.75
"Car",300,205.12
"Car",300,319.35
"Car",300,208.07
"Car",300,310.71
"Car",300,206.88
"Car",540,442.29
"Car",540,278.67
"Car",540,467.79
"Car",540,284.22
"Car",540,492.9
"Car",540,283.56
"Car",11,169.44
"Car",11,227.82
"Car",11,207.88
"Car",11,202.6
"Car",11,169.81
"Car",231,398.92
"Car",231,296.88
"Car",231,293.84
"Car",231,231.2274381
"Car",231,192.4388341
"SUV",300,338.64
"SUV",300,205.28
"SUV",300,339.97
"SUV",300,204.35
"SUV",300,339.77
"SUV",300,206.19
"SUV",300,350.88
"SUV",300,206.09
"SUV",300,220.94
"SUV",300,351.44
"SUV",300,232.4
"SUV",300,360.86
"SUV",300,342.58
"SUV",300,219.52
"SUV",300,366.54
"SUV",300,369.89
"SUV",300,241.97
"SUV",300,341.97
"SUV",300,213.08
"SUV",300,346.44
"SUV",300,214.62
"SUV",300,350.08
"SUV",300,217.81
"SUV",300,365.49
"SUV",300,218.79
"Car",425,482.93
"Car",425,291.06
"Car",425,412.8
"Car",425,242.65
"Car",425,364.59
"Car",425,229.09
"Car",425,487.96
"Car",425,285.75
"Car",425,428.2663595
"Car",425,245.2280257
"Car",425,236.366618
"Car",425,371.4423368
"Car",553,485.57
"Car",553,294.7
"Car",553,450.2
"Car",553,274.86
"Car",553,602.28
"Car",553,351.27
"Car",553,496.39
"Car",553,295.43
"Car",553,446.79
"Car",553,273.25
"Car",553,610.51
"Car",553,354.67
"SUV",300,395.82
"SUV",300,239.22
"Truck",181,282.5
"Truck",181,282.5
"Truck",181,282.5
"Truck",181,282.5
"Truck",181,212.54
"Truck",181,212.54
"Truck",181,212.54
"Truck",181,212.54
"Truck",181,295.11
"Truck",181,295.11
"Truck",181,295.11
"Truck",181,295.11
"Truck",181,210.13
"Truck",181,210.13
"Truck",181,210.13
"Truck",181,210.13
"SUV",241,322.65
"SUV",241,224.65
"SUV",241,338.22
"SUV",241,224.8
"SUV",300,382.5934697
"SUV",300,246.4232731
"SUV",300,252.7437892
"SUV",300,375.4820652
"SUV",300,381.33
"SUV",300,230.28
"SUV",300,380.22
"SUV",300,242.89
"SUV",300,241.58
"SUV",300,390.19
"SUV",300,250.2012308
"SUV",300,379.1306399
"SUV",300,372.9927851
"SUV",300,241.5423528
"SUV",300,372.08
"SUV",300,232.18
"SUV",300,393.76
"SUV",300,232.87
"Truck",567,491.62
"Truck",567,330.69
"Truck",567,522.35
"Truck",300,365.02
"Truck",300,232.52
"Truck",300,386.52
"Truck",300,231.87
"Truck",255,326.34
"Truck",255,326.34
"Truck",255,326.34
"Truck",255,326.34
"Truck",255,219.79
"Truck",255,219.79
"Truck",255,219.79
"Truck",255,219.79
"Truck",255,384.72
"Truck",255,384.72
"Truck",255,384.72
"Truck",255,384.72
"Truck",255,366.43
"Truck",255,366.43
"Truck",255,366.43
"Truck",255,366.43
"Truck",255,376.89
"Truck",255,376.89
"Truck",255,376.89
"Truck",255,376.89
"Truck",255,338.36
"Truck",255,338.36
"Truck",255,338.36
"Truck",255,338.36
"Truck",255,220.38
"Truck",255,220.38
"Truck",255,220.38
"Truck",255,220.38
"Truck",443,474.6
"Truck",443,294.81
"Truck",443,501.86
"Truck",300,373.51
"Truck",300,236.2
"Truck",300,236.7764221
"Truck",300,398.7159156
